,features.averageCommentLength,features.averageCommentLength,features.averageCommentLength,features.averageCommentLength,features.averageCommentLength,features.averageCommentLength,features.averageLinkUsage,features.averageLinkUsage,features.averageLinkUsage,features.averageLinkUsage,features.averageLinkUsage,features.averageLinkUsage,features.averageResponseTime,features.averageResponseTime,features.averageResponseTime,features.averageResponseTime,features.averageResponseTime,features.averageResponseTime,features.engagement,features.engagement,features.engagement,features.engagement,features.engagement,features.engagement,features.averagePairwiseCommentDisimilarity,features.averagePairwiseCommentDisimilarity,features.averagePairwiseCommentDisimilarity,features.averagePairwiseCommentDisimilarity,features.averagePairwiseCommentDisimilarity,features.averagePairwiseCommentDisimilarity,features.threadDeviation,features.threadDeviation,features.threadDeviation,features.threadDeviation,features.threadDeviation,features.threadDeviation,features.innovationRate,features.innovationRate,features.innovationRate,features.innovationRate,features.innovationRate,features.innovationRate,features.averageLikesPerComment,features.averageLikesPerComment,features.averageLikesPerComment,features.averageLikesPerComment,features.averageLikesPerComment,features.averageLikesPerComment,features.replyRatio,features.replyRatio,features.replyRatio,features.replyRatio,features.replyRatio,features.replyRatio,features.commentTimeVariance,features.commentTimeVariance,features.commentTimeVariance,features.commentTimeVariance,features.commentTimeVariance,features.commentTimeVariance,features.uniquePostsCommentedOn,features.uniquePostsCommentedOn,features.uniquePostsCommentedOn,features.uniquePostsCommentedOn,features.uniquePostsCommentedOn,features.uniquePostsCommentedOn,features.uniqueNewsOutletsCommentedOn,features.uniqueNewsOutletsCommentedOn,features.uniqueNewsOutletsCommentedOn,features.uniqueNewsOutletsCommentedOn,features.uniqueNewsOutletsCommentedOn,features.uniqueNewsOutletsCommentedOn,features.averageCommentsPerPost,features.averageCommentsPerPost,features.averageCommentsPerPost,features.averageCommentsPerPost,features.averageCommentsPerPost,features.averageCommentsPerPost,features.duplicateCommentRate,features.duplicateCommentRate,features.duplicateCommentRate,features.duplicateCommentRate,features.duplicateCommentRate,features.duplicateCommentRate,features.averageMediaUsage,features.averageMediaUsage,features.averageMediaUsage,features.averageMediaUsage,features.averageMediaUsage,features.averageMediaUsage,features.numOfComments,features.numOfComments,features.numOfComments,features.numOfComments,features.numOfComments,features.numOfComments
,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max,mean,median,var,std,min,max
label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyborg,184.25469116954284,63.06666666666666,188434.64969785544,434.0906007941838,0.0,3826.2727272727275,8.134615384615385,0.0,2292.2204714640206,47.87713934085892,0,502,4989.609509884933,736.3434139784946,132566776.37642477,11513.764648299217,0.0,65754.66666666667,251.28846153846155,29.0,341234.4001240693,584.1527198636238,0,3491,0.6858500042344239,0.8568197269611503,0.12280142846988436,0.35043034752983987,0.0,1.0,36506.07452696815,38123.9241764408,560680965.2875472,23678.702778816816,36.0,225829.33994889885,0.4915143740476574,0.4594594594594595,0.11132596841469815,0.33365546363681525,0.0,1.0,4.435322037002024,0.7048611111111112,170.7384436330554,13.066692145797857,0.0,102.67647058823529,0.31024922556668627,0.11024305555555555,0.14240902888295562,0.37737120833862725,0.0,1.0,479052997.8817304,431666314.5445827,1.666422856865633e+17,408218428.89140034,0.0,1797463212.25,16.871794871794872,10.0,294.92539288668314,17.173392002941153,1,75,3.1858974358974357,3.0,3.107154673283706,1.762712305875155,1,6,9.482555799617234,2.9310606060606057,458.111987945863,21.40355082564253,1.0,151.0,0.27795692852691045,0.16666666666666666,0.09523754919586264,0.30860581523338576,0.0,0.9668874172185431,0.4052469734388629,0.2846638655462185,0.16815984468108655,0.4100729748240995,0.0,1.0,63.6474358974359,44.0,4288.707154673287,65.48822149572614,1,413
Human,85.7502038423128,60.54545454545455,8870.354506719686,94.18255946150373,0.0,805.0,0.4756637168141593,0.0,11.73998292879148,3.4263658486494815,0,46,9270.881872552372,141.125,513961635.7265447,22670.721993940657,0.0,229587.16666666666,51.873893805309734,1.0,55514.85545886228,235.6159066337888,0,3013,0.6568598821860454,0.9446681125960292,0.1943541847529303,0.44085619509419427,0.0,1.0,43303.05952991672,36820.1105419825,3787156781.690046,61539.879604123744,0.0,847276.942239256,0.8191248411967155,0.8947368421052632,0.0496549410797905,0.22283388674030372,0.0,1.0,1.9555372894026,0.3333333333333333,34.51826728336971,5.875224870876834,0.0,44.25,0.3151858076234658,0.125,0.13609285366540927,0.36890764923678293,0.0,1.0,325743559.5402713,198660900.42993084,1.4159147558621635e+17,376286427.58703953,0.0,1681270938.56,6.028761061946903,3.0,95.74861664344716,9.785122208917329,1,94,1.9314159292035398,1.0,1.8201194984596654,1.349118044672024,1,6,2.3282991909949593,1.1428571428571428,9.75993582988584,3.1240896001692784,1.0,31.0,0.02374815351052657,0.0,0.006966322793025727,0.08346450019634531,0.0,0.7169811320754716,0.0982976066316333,0.0,0.049424567549751296,0.22231636815527392,0.0,1.0,12.829646017699115,4.0,449.96869787885316,21.212465624694673,1,154
Spam Bot,89.6494781041616,12.0,37921.66416214124,194.73485605340724,0.0,677.5901639344262,2.1923076923076925,0.0,61.601538461538446,7.848664756602772,0,33,1263.7159080631225,0.0,9562157.741476124,3092.273878794717,0.0,14386.098360655738,41.69230769230769,8.0,19986.94153846154,141.3751800651781,0,728,0.20725664459755352,0.014984922961320436,0.0994603102926197,0.31537328722106395,0.0,0.9491633744388016,43958.69891746132,43431.118317731445,2725959347.9190784,52210.72062248402,344.0290823096479,278900.33669162873,0.16772387938847133,0.02481000481000481,0.083287453551735,0.2885956575413688,0.0,1.0,0.3739444328955577,0.05374957000343997,0.8194718794428677,0.905246861051099,0.0,4.521739130434782,0.2104264209922014,0.0,0.15469062442702147,0.39330729007612036,0.0,1.0,331014082.481492,249423282.15657443,1.4275445224284187e+17,377828601.67388314,9681.51248513674,1276258088.361111,12.23076923076923,2.5,255.14461538461532,15.973246864198128,1,56,2.1923076923076925,2.0,2.321538461538461,1.5236595622180373,1,6,50.638050163780335,14.186274509803921,5187.513686039127,72.02439646424763,1.0,219.0,0.4991994688943138,0.5888256942121111,0.1824368371351903,0.4271262543267392,0.0,0.9950980392156863,0.4660740099675543,0.2585897147990119,0.23100342173154736,0.48062815328645425,0.0,1.0,104.0,68.5,6845.36,82.73669077259495,10,340
Troll,92.83842406272207,63.1375,12055.36574099386,109.79692956086642,2.918918918918919,926.2727272727273,0.7572815533980582,0.0,10.594458915462939,3.254913042688382,0,24,9152.54727891901,2589.3671875,280005731.21547824,16733.37178262284,0.0,154343.61904761905,85.1747572815534,16.0,150647.99857920903,388.1339956499676,0,5327,0.890465816914633,0.9637100974800228,0.05224940524492623,0.2285812880463452,0.0,1.0,34270.163984820174,32381.356726682017,647559732.2413454,25447.1949778624,0.0,255893.55557717793,0.6528956458423822,0.6661036036036037,0.04891117102870407,0.22115870100157503,0.014672686230248307,1.0,2.0577504753673312,0.5859605911330049,49.8572983224296,7.060970069503878,0.0,81.6,0.4868448931983546,0.5,0.13408070685042256,0.3661703249178209,0.0,1.0,495361837.9516101,474566423.8181943,1.4153469619811163e+17,376210972.9900387,0.0,1636802241.9693747,12.5,8.0,205.08048780487792,14.320631543506659,1,104,2.529126213592233,2.0,2.5040255742363255,1.582411316389113,1,6,7.278511626403165,2.569979716024341,337.23540016274654,18.363970163413644,1.0,174.0,0.08372075528870716,0.0,0.03441189470923143,0.1855044331255494,0.0,0.9712643678160919,0.20150471270184384,0.0,0.0908296913850225,0.30137964660046723,0.0,1.0,40.519417475728154,25.0,1784.0752308785225,42.23831472583302,1,210
